MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
113.61,3,2,1,113.0066,113.0066,27,5,10,2,1.68,3,18.96,2.06,2,,
175.63,2,2,2,175.0564,175.0564,26,11,87.3,2,1.77,3,17.7,0.6,0,,
197.58,2,4,0,197.0219,197.0219,26,12,124,2,1.77,3,17.7,1.4,1,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.67,3,18.61,2,1,,
148.2,1,1,3,148.1,148.1,38.4,11,115,1,1.53,2,24.9,1.2,1,,
250.31,2,3,11,250.1698,250.1698,57.5,16,189,1,1.77,2,18.87,1.33,1,,
191.14,3,7,6,191.043,191.043,115,13,187,1,1.57,3,23.45,2.37,2,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.75,3,16.5,0.5,0,,
202.09,2,1,2,201.0153,201.0153,26,10,65,2,1.75,3,16.5,0.7,0,,
157.64,2,1,2,157.0658,157.0658,26,10,65,2,1.75,3,16.5,1.8,1,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.55,1,19.3,1,1,,
283.54,2,1,2,282.9625,282.9625,26,11,87.3,2,1.55,1,19.3,0.9,0,,
267.08,2,2,2,266.992,266.992,26,11,87.3,2,1.55,1,19.3,1.8,1,,
249.09,2,1,2,249.0015,249.0015,26,10,65,2,1.55,3,19.2,1.5,1,,
283.54,2,1,2,282.9625,282.9625,26,11,87.3,2,1.55,3,19.2,3.6,2,,
267.08,2,2,2,266.992,266.992,26,11,87.3,2,1.55,3,19.2,2.1,2,,
253.06,2,2,1,252.9764,252.9764,26,10,77,2,1.6,2,19.38,3.36,2,,
175.63,2,2,2,175.0564,175.0564,26,11,87.3,2,1.55,3,22.34,2.44,2,,
212.6,3,5,1,212.0328,212.0328,38,12,138,2,1.6,3,18.3,3.1,2,,
215.64,4,3,2,215.0462,215.0462,102,14,215,2,1.55,2,22.8,1.6,1,,
232.12,2,2,3,231.0259,231.0259,35.2,12,97.7,2,1.58,3,18.39,0.81,0,,
187.66,2,2,3,187.0764,187.0764,35.2,12,97.7,2,1.58,3,18.39,4.24,2,,
179.65,2,1,0,179.0502,179.0502,26,12,133,2,1.78,1,16.6,2.6,2,,
218.25,0,6,5,218.0586,218.0586,27.7,13,138,1,1.55,3,20.9,2.1,2,,
236.48,0,4,0,235.9813,235.9813,36.9,12,99,1,1.55,3,20.9,0.6,0,,
164.27,0,3,5,164.0869,164.0869,27.7,10,74.8,1,1.55,3,20.9,0.8,0,,
196.34,1,4,6,196.0589,196.0589,28.7,11,89.6,1,1.55,3,20.9,2.4,2,,
610.38,0,20,15,610.0832,610.0832,27.7,37,736,1,1.55,3,20.9,2.1,2,,
257.83,0,4,7,257.1214,257.1214,27.7,15,146,2,1.55,3,20.9,1.5,1,,
115.99,1,1,0,114.9956,114.9956,26,5,4.8,2,1.55,3,22.35,2.81,2,,
418.4,0,4,2,418.0954,418.0954,74.8,32,712,1,1.4,3,21.6,0.5,0,,
420.4,0,6,2,420.0859,420.0859,101,32,718,1,1.4,3,21.6,3.4,2,,
154.19,2,3,1,154.0089,154.0089,38.3,10,136,1,1.58,2,22.61,1.7,1,,
139.1,0,3,0,139.0234,139.0234,23.8,10,150,1,1.65,1,22.5,0,0,,
159.09,0,4,0,159.0132,159.0132,45.8,11,159,1,1.65,1,22.5,1.8,1,,
184.1,0,5,0,184.0084,184.0084,69.6,13,257,1,1.65,1,22.5,2.51,2,,
266.12,4,6,4,266.0109,266.0109,115,16,279,1,1.56,1,24.14,1.73,1,,
118.09,2,4,3,118.0266,118.0266,74.6,8,92.6,1,1.53,1,23.99,1.03,1,,
154.07,2,6,3,154.0078,154.0078,74.6,10,165,1,1.53,1,23.99,1.26,1,,
190.05,2,8,3,189.9889,189.9889,74.6,12,199,1,1.53,1,23.99,1.93,1,,
214.25,3,4,2,214.0524,214.0524,133,14,307,1,1.58,2,23.03,1.31,1,,
101.11,2,1,0,101.0589,101.0589,81.5,7,103,1,1.58,2,23.03,0.74,0,,
86.1,3,1,1,86.0592,86.0592,88.2,6,69.6,1,1.53,2,23.3,1.3,1,,
620.3,0,18,0,620.7949,620.7949,197,25,145,4,1.69,3,19.3,2.1,2,,
129.16,3,1,2,129.1014,129.1014,91.5,9,132,1,1.6,3,11.62,2.51,2,,
329.95,4,2,2,329.909,329.909,52,7,12.4,3,1.95,3,13.5,2,1,,
159.05,4,2,0,158.0378,158.0378,24.1,8,26.5,3,1.55,3,23.15,2.37,2,,
329.95,0,5,0,329.8097,329.8097,54,13,191,1,1.55,3,23.4,1.7,1,,
139.17,1,2,2,139.0797,139.0797,26,10,87.3,1,1.55,3,23.84,1.19,1,,
166.06,2,1,0,165.0153,165.0153,12,7,30.9,2,1.67,3,19,1.9,1,,
168.03,2,2,0,166.9946,166.9946,21.3,7,34.5,2,1.67,3,19,2.9,2,,
212.3,3,5,1,212.0328,212.0328,38,13,138,2,1.25,2,21.09,2,1,,
974.5,2,22,4,974.0586,974.0586,57.4,68,1440,1,1.56,3,24.35,0.7,0,,
133.11,2,4,0,133.0388,133.0388,102,10,217,1,1.86,2,17.26,1.26,1,,
400.12,1,16,5,399.9439,399.9439,62.8,23,553,1,1.55,3,22.86,1.7,1,,
188.12,2,4,2,188.0238,188.0238,66.8,12,180,1,1.55,3,22.52,2.12,2,,
154.06,3,5,3,154.0031,154.0031,94.8,9,146,1,1.55,3,22.3,1.75,1,,
178.26,0,1,0,178.0565,178.0565,38.6,12,185,1,1.58,1,21.88,2.87,2,,
162.19,0,1,0,162.0793,162.0793,23.6,12,185,1,1.58,1,21.88,1.35,1,,
120.17,1,3,3,120.0245,120.0245,27.3,7,62.7,1,1.59,3,20.77,1.65,1,,
231.67,2,5,2,231.0096,231.0096,54.3,13,148,2,1.58,3,18.41,1.92,1,,
110.12,2,4,0,110.0592,110.0592,77.8,8,74.4,1,1.55,2,23.87,1.42,1,,
231.66,4,2,2,231.0687,231.0687,103,15,238,2,1.55,1,22.41,1.56,1,,
167.05,3,2,0,166.0106,166.0106,24.1,7,26.5,2,1.77,3,17.06,1.74,1,,
181.07,3,2,0,180.0262,180.0262,24.1,8,54,2,1.77,3,17.06,2.24,2,,
127.64,3,2,2,127.0222,127.0222,27,6,16.4,2,1.57,3,22.6,1.48,1,,
113.61,3,2,1,113.0066,113.0066,27,5,10,2,1.57,3,22.6,2.41,2,,
205.18,1,5,3,205.0714,205.0714,35.2,14,164,1,1.56,3,23.8,0.9,0,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.53,3,23.97,1.68,1,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.51,3,23.77,1.16,1,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.68,3,20.8,0.98,0,,
329.95,4,2,2,329.909,329.909,52,7,12.4,3,1.68,3,18.64,1.47,1,,
167.08,2,2,2,266.992,266.992,26,11,87.3,2,1.78,2,14.9,3.7,2,,
94.07,2,4,0,94.0378,94.0378,92.1,6,26.8,2,1.58,2,18.7,1.8,1,,
283.07,0,3,0,282.8926,282.8926,65.6,11,197,1,1.55,2,23.93,0.72,0,,
175.16,0,4,0,174.9865,174.9865,65.6,11,197,1,1.55,2,23.93,1.88,1,,
191.61,0,3,0,190.957,190.957,65.6,11,197,1,1.55,2,23.93,2.29,2,,
159.11,1,5,0,159.0507,159.0507,56.7,10,80.7,2,1.55,3,24.07,0.96,0,,
216.04,2,3,1,214.9694,214.9694,82,11,164,1,1.71,3,19.72,1.08,1,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,0.55,0,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,0.98,0,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,1.5,1,,
